lib,alpine,debian,python:3.6-alpine,python:3.7-alpine,python:3.10-alpine,python:3.8.13-alpine,python:3.11-rc-alpine,python:3.11-rc-slim,comment
jupyter,gcc musl-dev libffi-dev,,,,,,g++ [failure],build-essential libffi-dev [failure],python3-dev py3-pyzmq
pyzmq,,,,,,,[failure],[failure],alpine3.15/debian bullseye
numpy==1.17.3,,,,,ncurses-dev,,build-base [failure],libncurses-dev,libncurses-dev
numpy,gcc musl-dev g++,,,,,,build-base [failure],build-essential [failure],py36/py37 don't need g++
numpy-fat,build-base,,,,,,,,
pandas,gcc musl-dev g++,,,,,,build-base [failure],build-essential [failure],
cffi,gcc musl-dev libffi-dev,,,,,,,build-essential libffi-dev,build-base libffi-dev
twine,gcc musl-dev libffi-dev,,,,,,,build-essential libffi-dev,
jira,gcc musl-dev libffi-dev,,,,,,,build-essential libffi-dev,
pylint,,,gcc musl-dev,gcc musl-dev,,,,,
black,,,gcc musl-dev,gcc musl-dev,,,,,
pycryptodome,gcc musl-dev ,,,,,,,,
Pillow,,,gcc musl-dev zlib-dev jpeg-dev,gcc musl-dev zlib-dev jpeg-dev,,,gcc musl-dev zlib zlib-dev jpeg-dev,gcc libc-dev libz-dev libjpeg-dev,
opencv-python,gcc musl-dev g++ samurai linux-headers [failure],,,,,,build-base [failure],build-essential [failure],"ENV CMAKE_MAKE_PROGRAM ""ninja"""
opencv-python-headless,gcc musl-dev g++ samurai linux-headers [failure],,,,,,build-base [failure],build-essential [failure],ln -s /usr/bin/ninja /usr/bin/ninja-build
jinja2,,,,,,,,,
dnspython,,,,,,,,,
psycopg2,libpq-dev gcc musl-dev ,build-essential libpq-dev,,,,,,,alpine3.14 cannot find package libpq-dev
PyYAML,,,,,,,,,
requests,,,,,,,,,
slack-sdk,,,,,,,,,
beautifulsoup4,,,,,,,,,
xenoslib,,,,,,,,,
youtube-dl,,,,,,,,,
pyotp,,,,,,,,,
python-gitlab,,,,,,,,,
hvac,,,,,,,,,
you-get,,,,,,,,,
xmltodict,,,,,,,,,
tornado,,,,,,,,,
peewee,,,,,,,,,
wheel,,,,,,,,,
build,,,,,,,,,
flake8,,,,,,,,,
pytest,,,,,,,,,
setuptools,,,,,,,,,
cmake,,,,,,,,,
packaging,,,,,,,,,
distro,,,,,,,,,
pyparsing,,,,,,,,,
requests_mock,,,,,,,,,
